Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac;Precio Regulado 10% o 15% TAB;Precio Regulado X Pres.; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones;;
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;325146;325146;;;2335;Farmaceres S.A.;1/08/2019;31/07/2020;;;2335;Farmaceres S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;29700;29700;;;2530;Salud Drogas Uno A;13/08/2018;30/06/2020;;;2530;Salud Drogas Uno A
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;33000;33000;0;;2246;Distribuidora Colombiana de Medicamentos SAS;9/05/2018;30/04/2020;;;2246;Distribuidora Colombiana de Medicamentos SAS
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;;2097;Clinica de Marly S.A.;17/06/2019;30/06/2020;;;2097;Clinica de Marly S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;27000;27000;;;2674-INS;Farmacos de la Costa Ltda;1/12/2018;31/12/2019;;;2674-INS;Farmacos de la Costa Ltda
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;28000;28000;;;1872;Macromed S.A.S.;1/07/2018;31/01/2020;;;1872;Macromed S.A.S.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;24000;24000;;;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32377;32377;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;33445;33445;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;13/06/2019;30/12/2019;COLMEDICA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;;2475;IPS Biotech and Life S.A.;1/08/2019;30/07/2020;;;2475;IPS Biotech and Life S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;30500;30500;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud;1/04/2019;28/02/2020;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;33816;33816;;;1675;Salamanca Rafael Antonio;1/08/2019;31/08/2019;;;1675;Salamanca Rafael Antonio
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;31587;31587;0;0;1731;Universidad del Cauca Unidad d;1/02/2019;28/02/2020;;;1731;Universidad del Cauca Unidad d
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;31470;31470;0;0;1010;Audifarma S.A.;1/07/2018;31/07/2019;CONSORCIO;;1010;Audifarma S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;31470;31470;0;0;1025;Caja De Comp. Fam. Comfenalco Valle;1/07/2018;31/07/2019;CONSORCIO;;1025;Caja De Comp. Fam. Comfenalco Valle
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;31470;31470;0;0;1023;C.C.F. Comfenalco Antioquia;1/07/2018;31/07/2019;CONSORCIO;;1023;C.C.F. Comfenalco Antioquia
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;31470;31470;;;1026;Caja De Comp. Fam. Compensar;1/07/2018;31/07/2019;CONSORCIO;;1026;Caja De Comp. Fam. Compensar
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;24000;24000;;;1492;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;1492;Cosmitet Ltda
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;24000;24000;;;2062;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2062;Cosmitet Ltda
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;24000;24000;;;2170;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2170;Cosmitet Ltda
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;24000;24000;;;2324;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2324;Cosmitet Ltda
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;; 2063-INS ;Unidrogas S.A.;1/05/2019;1/01/2021;Electricaribe;;2063-INS;Unidrogas S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;; 2615-INS ;Unidrogas S.A.;1/05/2019;1/01/2021;Electricaribe;;2615-INS;Unidrogas S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;; 2576-INS ;Unidrogas S.A.;1/05/2019;1/01/2021;Electricaribe;;2576-INS;Unidrogas S.A.
001-006-034;ABRILAR JARABE FCO X 200 ML;Hedera Helix;1;32000;32000;;; 2711-INS ;Unidrogas S.A.;1/05/2019;1/01/2021;Electricaribe;;2711-INS;Unidrogas S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18000;18000;;; 1451-INS ;Supert.y Drog. Olimpica S.A.;16/11/2018;31/03/2020;;;1451-INS;Supert.y Drog. Olimpica S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;19000;19000;;;2702;Meditec Calidad en Salud SAS;18/06/2018;30/07/2019;COOMEVA;;2702;Meditec Calidad en Salud SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;22000;22000;;;2785;Hospital Universitario San Ignacio;1/01/2019;31/01/2020;;;2785;Hospital Universitario San Ignacio
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2761;Universidad Industrial de Santander;1/06/2019;31/03/2020;;;2761;Universidad Industrial de Santander
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;19500;19500;;;2228;Productos Hospitalarios S.A. Pro-H S.A.;14/12/2018;31/12/2019;MEDIMAS;;2228;Productos Hospitalarios S.A. Pro-H S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2780;Health Net SAS;29/07/2019;31/07/2020;;;2780;Health Net SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;22500;22500;;; 2360-INS ;Grupo Dao SAS;1/08/2019;31/01/2020;;;2360-INS;Grupo Dao SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;17000;17000;;;2097;Clinica de Marly S.A.;17/06/2019;30/06/2020;;;2097;Clinica de Marly S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2891;Medical Group Anma SAS;1/05/2018;31/05/2019;;;2891;Medical Group Anma SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1044-INS ;Caja De Comp. Fam. Comfandi;31/05/2019;28/02/2020;Univalle;;1044-INS;Caja De Comp. Fam. Comfandi
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2117;Suministros y Dotaciones Colombia S.A.;19/06/2019;31/12/2020;;;2117;Suministros y Dotaciones Colombia S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;16000;16000;;;2724;Solinsa G.C S.A.S.;1/07/2019;30/06/2020;MEDIMAS;;2724;Solinsa G.C S.A.S.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18500;18500;;;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S;1/04/2019;31/03/2020;;;2836;Servimed Institucion Prestadora de Servicios de Salud S.A. Servimed I.P.S.S
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;14000;14000;;;2239;Escobar Bustos Carmen del Pilar;1/05/2019;30/04/2020;;;2239;Escobar Bustos Carmen del Pilar
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2939;Grupo Empresarial Provima SAS;1/02/2019;31/01/2020;;;2939;Grupo Empresarial Provima SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18900;18900;;;2807;Medivalle SF SAS;1/05/2019;30/04/2020;;;2807;Medivalle SF SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;29881;29881;;;2598;Medicina Integral S.A.;1/04/2019;30/06/2020;;;2598;Medicina Integral S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;21000;21000;;;1267;H. & V Cia Ltda.;13/05/2019;30/04/2020;;;1267;H. & V Cia Ltda.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18000;18000;;;2335;Farmaceres S.A.;1/08/2019;31/07/2020;;;2335;Farmaceres S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2651;Cooperativa Emssanar Servicio Farmaceutico;1/05/2019;31/03/2020;;;2651;Cooperativa Emssanar Servicio Farmaceutico
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18000;18000;;;2530;Salud Drogas Uno A;13/07/2018;30/06/2020;;;2530;Salud Drogas Uno A
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;19000;19000;0;;2246;Distribuidora Colombiana de Medicamentos SAS;9/05/2018;30/04/2020;;;2246;Distribuidora Colombiana de Medicamentos SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;16000;16000;;;2875;Offimedicas S.A.;1/06/2019;31/05/2020;;;2875;Offimedicas S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;21000;21000;;;1872;Macromed S.A.S.;1/07/2018;31/01/2020;;;1872;Macromed S.A.S.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;25000;25000;;;2674-INS;Farmacos de la Costa Ltda;1/12/2018;31/12/2019;;;2674-INS;Farmacos de la Costa Ltda
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;25000;25000;;;2674-INS;Farmacos de la Costa Ltda;1/12/2018;31/12/2019;;;2674-INS;Farmacos de la Costa Ltda
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18810;18810;;;2061;Cosmitet Ltda;1/10/2018;31/10/2021;POLICIA;;2061;Cosmitet Ltda
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;25000;25000;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;1/08/2019;31/08/2020;CRUZ VERDE;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;18000;18000;;; 1044-INS ;Caja De Comp. Fam. Comfandi;16/08/2019;31/08/2020;;;1044-INS;Caja De Comp. Fam. Comfandi
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;30000;30000;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;13/06/2019;30/12/2019;COLMEDICA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;17000;17000;;;2475;IPS Biotech and Life S.A.;1/08/2019;30/07/2020;;;2475;IPS Biotech and Life S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2318;Helpharma S.A.;15/08/2019;14/08/2020;SURA;;2318;Helpharma S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 2564-INS ;Caja Colombiana de Subsidio Familiar Colsubsidio;15/08/2019;14/08/2020;SURA;;2564-INS;Caja Colombiana de Subsidio Familiar Colsubsidio
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1021-INS ;Caja Colombiana de Subsidio Familiar Colsubsidio;15/08/2019;14/08/2020;SURA;;1021-INS;Caja Colombiana de Subsidio Familiar Colsubsidio
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2931;Neuromedica S.A.S;15/08/2019;14/08/2020;SURA;;2931;Neuromedica S.A.S
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1106-INS ;Eticos Serrano Gomez Ltda.;15/08/2019;14/08/2020;SURA;;1106-INS;Eticos Serrano Gomez Ltda.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 2075-INS ;Eticos Serrano Gomez Ltda.;15/08/2019;14/08/2020;SURA;;2075-INS;Eticos Serrano Gomez Ltda.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 2172-INS ;Eticos Serrano Gomez Ltda.;15/08/2019;14/08/2020;SURA;;2172-INS;Eticos Serrano Gomez Ltda.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1361-INS ;Dropopular S.A.;15/08/2019;14/08/2020;SURA;;1361-INS;Dropopular S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;1010;Audifarma S.A.;15/08/2019;14/08/2020;SURA;;1010;Audifarma S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1044-INS ;Caja De Comp. Fam. Comfandi;15/08/2019;14/08/2020;SURA;;1044-INS;Caja De Comp. Fam. Comfandi
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;1102;Deposito de Drogas Monaco S.A.;15/08/2019;14/08/2020;SURA;;1102;Deposito de Drogas Monaco S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1235-INS ;Eve Distribuciones S.A.S;15/08/2019;14/08/2020;SURA;;1235-INS;Eve Distribuciones S.A.S
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 2775-INS ;Eve Distribuciones SAS;15/08/2019;14/08/2020;SURA;;2775-INS;Eve Distribuciones SAS
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1247-INS ;Droguerias y Farmacias Cruz Verde S.A.S.;15/08/2019;14/08/2020;SURA;;1247-INS;Droguerias y Farmacias Cruz Verde S.A.S.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;1720;Cooperativa de Hospitales de A;15/08/2019;14/08/2020;SURA;;1720;Cooperativa de Hospitales de A
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2329;Grupo Afin Farmacéutica S.A.S;15/08/2019;29/02/2020;SURA;;2329;Grupo Afin Farmacéutica S.A.S
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;;2274;Comercializadora Mercaldas S.A.;15/08/2019;14/08/2020;SURA;;2274;Comercializadora Mercaldas S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;16000;16000;;;2641;Organiz.Clinica General Norte;1/09/2019;28/02/2020;;;2641;Organiz.Clinica General Norte
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;14000;14000;;;2666;Farma Xpress S.A.S;1/07/2019;30/09/2019;;;2666;Farma Xpress S.A.S
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;19000;19000;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud;1/04/2019;28/02/2020;;;1224;Empresa Cooperativa de Servicios de Salud Emcosalud
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;21000;21000;;;2075-INS;Eticos Serrano Gomez Ltda.;27/08/2019;31/08/2020;ECOPETROL;;2075-INS;Eticos Serrano Gomez Ltda.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;21000;21000;;;1010;Audifarma S.A.;27/08/2019;27/08/2020;ECOPETROL;;1010;Audifarma S.A.
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;20000;20000;;; 1235-INS ;Eve Distribuciones S.A.S;15/08/2019;14/08/2020;MEDIMAS;;1235-INS;Eve Distribuciones S.A.S
001-008-003;ACRYLARM GEL X 10 GRS;Acido Poliacrílico 2 mg;1;16000;16000;;;1675;Salamanca Rafael Antonio;1/08/2019;31/08/2019;;;1675;Salamanca Rafael Antonio
