CódigoAxapta;Nombrecomercialproducto;PrincipioActivo;contenido;Precioaprobadoxumc;Precioaprobadoxpresentac;PrecioRegulado10%o15%TAB;PrecioReguladoXPres;códigocliente;NombreCliente;VigenciaDesde;Hasta;Convenio;Observaciones
001-110-074;IRBEPREX A 150/5 MG CAJA X 30 TAB;Irbesartan 150 mg + Amlodipino 5 mg;30;2967;89010;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-075;IRBEPREX A 300/10 MG CAJA X 30 TAB;Irbesartan 300 mg + Amlodipino 10 mg;30;5400;162000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-076;IRBEPREX A 300/5 MG CAJA X 30 TAB;Irbesartan 300 mg + Amlodipino 5 mg;30;5400;162000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-077;IRBEPREX H 150/125 MG CAJA X 30 TAB;Irbesartan 150 mg + Hidroclorotiazida 125 mg;30;509;15270;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-078;IRBEPREX H 300/125 MG CAJA X 30 TAB;Irbesartan 300 mg + Hidroclorotiazida 125 mg;30;716;21480;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-079;KLAMICINA 500 MG CAJA X 10 TAB;Claritromicina 500 mg;10;700;7000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-081;LEFLUX 16 MG CAJA X 20 TABLETAS;Betahistina Clorhidrato 16 mg;20;400;8000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-083;LEFLUX 8 MG CAJA X 30 TABLETAS;Betahistina Clorhidrato 8 mg;30;200;6000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-084;LEUCOTREN 10 MG CAJA X 30 TAB;Montelukast 10 mg;30;176;5280;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-086;LEUCOTREN 4 MG CAJA X 30 TAB;Montelukast 4 mg;30;106;3180;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-088;LEUCOTREN 5 MG CAJA X 30TAB;Montelukast 5 mg;30;127;3810;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-209;LITASINA SOL INYECTABLE X 300 ML;Linezolid 2 mg;1;42000;42000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-066;LOPRAL 15 mg x 30 caps;Lansoprazol 15 mg;30;800;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-071;LOPRAL 30 MG CAJA X 30;Lansoprazol 30 mg;30;700;21000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-014;LOTESOFT FCO 5 ML;Loteprednol Etabonato 05%;1;40000;40000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-011;LOUTEN FCO X 25 ML;Latanoprost 50 mcg/ml;1;9000;9000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-090;MACROZIT 500 MG  X 3 TAB;Azitromicina;3;1500;4500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-552;MARTESIA 150 MG X 30;Pregabalina 150 mg;30;600;18000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-554;MARTESIA 25 MG X 30;Pregabalina 25 mg;30;450;13500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-553;MARTESIA 300 MG X 30;Pregabalina 300 mg;30;900;27000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-551;MARTESIA 75 MG X 30;Pregabalina 75 mg;30;300;9000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-607;MATINAC 100 MG X 120 COMPRIMIDOS;Imatinib 100 mg;120;15000;1800000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-608;MATINAC 400 MG X 30 COMPRIMIDOS;Imatinib 400 mg;30;18000;540000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-013-021;MICOFLAVIN 250 MG X 100 COMP;Micofenolato Mofetilo 250 mg;100;1800;180000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-013-020;MICOFLAVIN 500 MG X 50 COMP;Micofenolato Mofetilo 500 mg;50;1700;85000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-081;MIGRADORIXINA CAJA X 10;Clonixinato de Lisina 125 mg+Ergotamina 1 mg;10;1900;19000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-080;MIGRADORIXINA X 100 COMP;Clonixinato de Lisina 125 mg+Ergotamina 1 mg;100;1580;158000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-058;NEOZENTIUS COMP 10 MG X 28;Escitalopram 10 mg;28;1650;46200;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-602;NEOZENTIUS COMP 20 MG X 14;Escitalopram 20 mg;14;2700;37800;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-095;NEVITEN 5 MG 30 TAB;Nebivolol Clorhidrato 5 mg;30;1000;30000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-104;OLAZAP 10 MG CAJA X 30 TABLETAS;Olanzapina 10 mg;30;180;5400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-106;OLAZAP 5 MG CAJA X 30 TAB;Olanzapina 5 mg;30;420;12600;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-108;OLMEPREX 20 MG X 30 TABLETAS;Olmesartan medoxomil 20 mg;30;650;19500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-109;OLMEPREX 40 MG X 30 TABLETAS;Olmesartan medoxomil 40 mg;30;1280;38400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-182;OLOPAT SOLUCION OFT 02% X 5 ML;Olopatadina 02%;1;12000;12000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-110;OMEX 40 MG X 15 CAPSULAS;Omeprazol 40 mg;15;2800;42000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-111;ONDAX 4 MG X  1 AMPOLLA;Ondansetron 4 mg ;1;1400;1400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-112;ONDAX 4 MG CAJA X 10 TAB;Ondansetron 4 mg ;10;900;9000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-113;ONDAX 8 MG CAJA X 1 AMPOLLA;Ondansetron 8 mg ;1;1000;1000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-114;ONDAX 8 MG CAJA X 10 TAB;Ondansetron 8 mg ;10;720;7200;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-116;ORLIX 40 MG  X 30 TABLETAS;Bromuro de Otilonio 40 mg;30;800;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-189;PAGLIX 125 MG CAJA X 60 TABLETAS;Bosentan 125 mg;60;25000;1500000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-188;PAGLIX 625 MG CAJA X 60 TABLETAS;Bosentan 625 mg;60;8000;480000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-117;PANTOPRAX 20 MG X 30 TAB;Pantoprazol 20 mg;30;8,33E+14;25000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-118;PANTOPRAX 40 MG CAJA X 30 TAB;Pantoprazol 40 mg;30;650;19500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-052;POENGATIF 5 ML;Gatifloxacina 03%;1;41467;41467;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-125;PROSTARIDE 2 MG X 30 TABLETAS;Doxasozina 2 mg;30;800;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-127;PROSTARIDE 4 MG X 30 TABLETAS;Doxasozina 4 mg;30;700;21000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-130;QUINOMAX 400 MG CAJA X 7 TAB;Moxifloxacina 400 mg;7;4000;28000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-131;RIFABAC 200 MG X 12 TABLETAS;Rifaximina 200 mg;12;1400;16800;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-030;RIFABAC 550 mg X 14 TAB;Rifaximina 550 mg;14;5800;81200;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-132;RINOSAL 005% X 10 GRAMOS;Mometasona de furoato  50 mcg por cada 100 mg;1;8500;8500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-133;RINOSAL 005% X 18 GRAMOS;Mometasona de furoato  50 mcg por cada 100 mg;1;8500;8500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-136;RINOTADIN 5 MG CAJA X 10 TAB;Desloratadina 5 mg;10;350;3500;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-137;RISEMAX 120 MG CAJA X 60 CAP;Orlistat 120 mg;60;800;48000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-138;ROSUVAX 10 MG CAJA X 30 TABLETAS;Rosuvastatina 10 mg;30;520;15600;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-140;ROSUVAX 20 MG CAJA X 30 TABLETAS;Rosuvastatina 20 mg;30;470;14100;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-141;ROSUVAX 40 MG CAJA X 30 TABLETAS;Rosuvastatina 40 mg;30;1400;42000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-142;ROSUVAX E 10/10  MG CAJA X 30 TABLETAS;Rosuvastatina 10 mg + Ezetimiba 10 mg;30;4800;144000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-143;ROSUVAX E 20/10  MG CAJA X 30 TABLETAS;Rosuvastatina 10 mg + Ezetimiba 20 mg;30;3500;105000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-145;SULIMAX 500 MG 30 TABLETAS;Mesalazina 500 mg;30;480;14400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-150;TAZEPIN 30 MG CAJA  X 20 TAB;Mirtazapina 30 mg;20;406;8120;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-193;TIAMAX 100 MG X 30 TABLETAS;Quetiapina 100 mg;30;180;5400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-194;TIAMAX 200 MG X 30 TABLETAS;Quetiapina 200 mg;30;280;8400;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-155;TIAMAX 25 MG X 30 TABLETAS;Quetiapina 25 mg;30;120;3600;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-101;TOPTEAR FCO 10 ML;Hialuronato de Sodio 04%;1;24000;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-102;TOPTEAR P SOL OFT X 10 ML;Hialuronato de Sodio 02%;1;21000;21000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-141;TRACTAL 1 MG X 30 CREC;Risperidona 1 mg;30;338;10140;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-142;TRACTAL 2 MG X 30 CREC;Risperidona 2 mg;30;677;20310;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-006-089;TRACTAL GOTAS X 20 ML;Risperidona 1 mg;1;7826;7826;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-104;UMBRELLA GEL 50+ X 60 G;Pantalla + 3  filtros solares;1;60000;60000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-078;UMBRELLA KIDS MAX X 60 G;Pantallas + 4 filtros solares + Aloe vera;1;45000;45000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-106;UMBRELLA KIDS RESISTENTE AL AGUA 50+ X 120 G;Filtros solares en vehiculo resistente al agua;1;60000;60000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-105;UMBRELLA PLUS 50+ X 120 G;Pantalla + filtros solares + Vitamina E;1;60000;60000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-461;UREADERM 10% X 60 G;Urea 10%;1;20000;20000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-004-472;UREADERM 15% X 60 G;Urea 15%;1;25000;25000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-481;UREADERM LACTATO X 225G;Urea 5% + Acido Láctico 8%;1;35000;35000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-156;UROFLAV 500 MG CAJA X 10 TABLETAS;Levofloxacina Hemihidrato 500 mg;10;530;5300;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-158;UROFLAV 750 MG CAJA X 5 TABLETAS;Levofloxacina Hemihidrato 750 mg;5;3000;15000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-160;VALCOX 10 MG X 30 TABLETAS;Memantina 10 mg;30;243;7290;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-162;VALSAPREX  160 MG CAJA X 28 TAB;Valsartan 160 mg;28;730;20440;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-164;VALSAPREX  80 MG CAJA X 28 TAB;Valsartan 80 mg;28;403;11284;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-166;VALSAPREX   H 160/125 MG CAJA X 28 TABLETAS;Valsartan 160 mg + Hidroclorotiazida 125 mg;28;286;8008;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-168;VALSAPREX H 80/125 MG CAJA X 28 TAB;Valsartan 80 mg + Hidroclorotiazida 125 mg;28;210;5880;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-169;VASIP 80 MG  CAJA X 30 TAB;Ginkgo Biloba 80 mg;30;300;9000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-170;VENOMAX 500 MG CAJA X 30 TAB;Diosmina 450 mg + Hesperidina 50 mg;30;594;17820;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-500-511;VIROSUPRIL CREMA X 5 G;Imiquimod 5%;1;50000;50000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-008-205;XEGREX SOLUCIÓN OFTÁLMICA x 5 ML;Dorzolamida 20 mg + Brimonidina Tartrato 2 mg + Timolol 5 mg;1;30000;30000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-171;XIFEN 80 MG X 30 TABLETAS;Telmisartan 80 mg;30;800;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-172;XIFEN H 80/125 MG X 30 TABLETAS;Telmisartan 80 mg + Hidroclorotiazida 125 mg;30;2100;63000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-174;ZOPLIMAX 2 MG 30 TABLETAS;Eszopiclona 2 mg;30;800;24000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
001-110-175;ZOPLIMAX 3 MG 30 TABLETAS;Eszopiclona 3 mg;30;1000;30000;;; 1408-INS ;Profesionales de la Salud SA;01/09/2019;01/09/2020;;
