Código Axapta;Nombre comercial producto;Principio Activo;contenido;Precio aprobado x umc;Precio aprobado x presentac; Precio Regulado 10% o 15% TAB ; Precio Regulado X Pres. ; código cliente ;Nombre Cliente;Vigencia Desde;Hasta;Convenio;Observaciones
001-006-401;CEUMID 1000 MG X 30;Levetiracetam 1000 mg;30;875;26250;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-411;CEUMID 500 MG X 30;Levetiracetam 500 mg;30;550;16500;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-550;CICLORELAX 10 MG X 20 TABS;Ciclobenzaprina 10 mg;20;2100;42000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-500-125;DERMACORTINE CREMA X 15 G;Mometasona Furoato 01%;1;38503;38503;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-500-126;DERMACORTINE LOCION X 30 ML;Mometasona Furoato 01%;1;56858;56858;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-500-143;DERMOSUPRIL 01% CREMA X 15 G;Desonida 01%;1;13044;13044;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-004-141;DESONIDA CREMA 01 % X 15 G;Desonida 01%;1;7210;7210;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-060;DORIXINA RELAX X 100 COMP;Clonixinato de Lisina 125 mg Ciclobenzaprina Clorhidrato 5 mg;100;1325;132500;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-053;DORIXINA RELAX X 20 COMP;Clonixinato de Lisina 125 mg Ciclobenzaprina Clorhidrato 5 mg;20;1815;36300;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-043;DUOLIP 40/10 MG  X 30 TABLETAS;Simvastatina 40 mg + Ezetimiba 10 mg;30;3253;97590;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-048;DUOVAL H 5/160/125 MG X 30 TAB;Amlodipino 5 mg + Valsartan 160 mg + Hidroclorotiazida 125 mg;30;1600;48000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-004;ERITROPOYETINA 2000 UI JERIN PRELL  CAJA X 100;Eritropoyetina alfa humana recombinante 2000 UI;100;3894;389400;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-008;ERITROPOYETINA 4000 UI JERIN PRELL  CAJA X 100;Eritropoyetina alfa humana recombinante 4000 UI;100;6810;681000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-055;FENTRADOL 120 MG X 10 TABLETAS;Fexofenadina 120 mg;10;873;8730;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-057;FENTRADOL 180 MG X 10 TABLETAS;Fexofenadina 180 mg;10;1310;13100;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-058;FIBROLIP 100 MG CAJA X 30 TABLETAS;Ciprofibrato 100 mg;30;718;21540;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-010;FILGRASTIM 300 MG FCO AMP;Filgastrim 300 mcg;1;23200;23200;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-004-221;GLAUCOMED X10 TABLETAS;Acetazolamida 250 mg;10;530;5300;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-015;ICLACITIDINA 100 MG X 1 VIAL;Azacitidina;1;720000;720000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-074;IRBEPREX A 150/5 MG CAJA X 30 TAB;Irbesartan 150 mg + Amlodipino 5 mg;30;3810;114300;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-075;IRBEPREX A 300/10 MG CAJA X 30 TAB;Irbesartan 300 mg + Amlodipino 10 mg;30;5493;164790;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-076;IRBEPREX A 300/5 MG CAJA X 30 TAB;Irbesartan 300 mg + Amlodipino 5 mg;30;5047;151410;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-001-152;KINOR NF X 10 ML;Acido Salicílico 20% + Acido Láctico 5%;1;27000;27000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-079;KLAMICINA 500 MG CAJA X 10 TAB;Claritromicina 500 mg;10;848;8480;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-004-209;LITASINA SOL INYECTABLE X 300 ML;Linezolid 2 mg;1;30000;30000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-554;MARTESIA 25 MG X 30;Pregabalina 25 mg;30;400;12000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-607;MATINAC 100 MG X 120 COMPRIMIDOS;Imatinib 100 mg;120;9000;1080000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-608;MATINAC 400 MG X 30 COMPRIMIDOS;Imatinib 400 mg;30;17500;525000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-021;MICOFLAVIN 250 MG X 100 COMP;Micofenolato Mofetilo 250 mg;100;1800;180000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-020;MICOFLAVIN 500 MG X 50 COMP;Micofenolato Mofetilo 500 mg;50;1700;85000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-004-336;MINOT X 10;Minociclina 100 mg;10;3500;35000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-008-021;OFTAFLOX GOTAS X 5 ML;Dexametasona 1mg+Polimixina-B 1mg+Neomicina 35mg;1;17080;17080;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-008-031;OFTAFLOX UNGUENTO X 5 G;Dexametasona 1mg+Polimixina-B 1mg+Neomicina 35mg;1;19096;19096;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-104;OLAZAP 10 MG CAJA X 30 TABLETAS;Olanzapina 10 mg;30;267;8010;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-106;OLAZAP 5 MG CAJA X 30 TAB;Olanzapina 5 mg;30;334;10020;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-008-182;OLOPAT SOLUCION OFT 02% X 5 ML;Olopatadina 02%;1;12880;12880;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-189;PAGLIX 125 MG CAJA X 60 TABLETAS;Bosentan 125 mg;60;22000;1320000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-188;PAGLIX 625 MG CAJA X 60 TABLETAS;Bosentan 625 mg;60;10500;630000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-117;PANTOPRAX 20 MG X 30 TAB;Pantoprazol 20 mg;30;850;25500;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-118;PANTOPRAX 40 MG CAJA X 30 TAB;Pantoprazol 40 mg;30;670;20100;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-560;PIASCLEDINE 300 MG X 30;Insaponificables de Persea gratissima 100 mg y Glicina Max 200 mg;30;2200;66000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-500-438;PRESIDERM UNG X 15 G;Mupirocina 2%;1;30000;30000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-500-171;PROCICAR CREMA X 60 G;Oxido de Zinc + Calamina 5%;1;21218;21218;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-125;PROSTARIDE 2 MG X 30 TABLETAS;Doxasozina 2 mg;30;300;9000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-127;PROSTARIDE 4 MG X 30 TABLETAS;Doxasozina 4 mg;30;326;9780;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-013-014;RANLAT 800 MG X 60 TAB;Sevelámero Carbonato;60;3000;180000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-132;RINOSAL 005% X 10 GRAMOS;Mometasona de furoato  50 mcg por cada 100 mg;1;11000;11000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-133;RINOSAL 005% X 18 GRAMOS;Mometasona de furoato  50 mcg por cada 100 mg;1;12000;12000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-136;RINOTADIN 5 MG CAJA X 10 TAB;Desloratadina 5 mg;10;250;2500;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-142;ROSUVAX E 10/10  MG CAJA X 30 TABLETAS;Rosuvastatina 10 mg + Ezetimiba 10 mg;30;4567;137010;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-143;ROSUVAX E 20/10  MG CAJA X 30 TABLETAS;Rosuvastatina 10 mg + Ezetimiba 20 mg;30;3400;102000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-193;TIAMAX 100 MG X 30 TABLETAS;Quetiapina 100 mg;30;180;5400;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-194;TIAMAX 200 MG X 30 TABLETAS;Quetiapina 200 mg;30;287;8610;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-155;TIAMAX 25 MG X 30 TABLETAS;Quetiapina 25 mg;30;212;6360;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-006-089;TRACTAL GOTAS X 20 ML;Risperidona 1 mg;1;7400;7400;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-004-461;UREADERM 10% X 60 G;Urea 10%;1;13500;13500;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-004-472;UREADERM 15% X 60 G;Urea 15%;1;20000;20000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-500-481;UREADERM LACTATO X 225G;Urea 5% + Acido Láctico 8%;1;35000;35000;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-160;VALCOX 10 MG X 30 TABLETAS;Memantina 10 mg;30;235;7050;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-166;VALSAPREX   H 160/125 MG CAJA X 28 TABLETAS;Valsartan 160 mg + Hidroclorotiazida 125 mg;28;290;8120;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-110-168;VALSAPREX H 80/125 MG CAJA X 28 TAB;Valsartan 80 mg + Hidroclorotiazida 125 mg;28;270;7560;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
001-008-205;XEGREX SOLUCIÓN OFTÁLMICA x 5 ML;Dorzolamida 20 mg + Brimonidina Tartrato 2 mg + Timolol 5 mg;1;41506;41506;;;2857;Colpromed SAS;01/08/2019;31/01/2020;;
